keyword,description,category,datatype,comment,hdu,missions,mandatory,content,relevance_score,relevance_comment,user_comment
JWST_X,Barycentric JWST X coordinate at MJD-AVG (km),Ephemeris,float,[km] barycentric JWST X coordinate at MJD-AVG,SCI,JWST,False,"This keyword provides the precise X coordinate of the James Webb Space Telescope (JWST) in a barycentric coordinate system, typically centered on the Solar System barycenter. This information is vital for highly accurate astrometry, parallax corrections, and advanced orbital mechanics calculations for scientific data.",50,Useful for advanced users performing high-precision astrometry or orbital calculations.,
JWST_Y,Barycentric JWST Y coordinate at MJD-AVG (km),Ephemeris,float,[km] barycentric JWST Y coordinate at MJD-AVG,SCI,JWST,False,"This keyword provides the precise Y coordinate of the James Webb Space Telescope (JWST) in a barycentric coordinate system, typically centered on the Solar System barycenter. This information is vital for highly accurate astrometry, parallax corrections, and advanced orbital mechanics calculations for scientific data.",50,Useful for advanced users performing high-precision astrometry or orbital calculations.,
JWST_Z,Barycentric JWST Z coordinate at MJD-AVG (km),Ephemeris,float,[km] barycentric JWST Z coordinate at MJD-AVG,SCI,JWST,False,"This keyword provides the precise Z coordinate of the James Webb Space Telescope (JWST) in a barycentric coordinate system, typically centered on the Solar System barycenter. This information is vital for highly accurate astrometry, parallax corrections, and advanced orbital mechanics calculations for scientific data.",50,Useful for advanced users performing high-precision astrometry or orbital calculations.,
JWST_DX,Barycentric JWST X velocity at MJD-AVG (km/s),Ephemeris,float,[km/s] barycentric JWST X velocity at MJD-AVG,SCI,JWST,False,This keyword specifies the X velocity component of the James Webb Space Telescope (JWST) within a barycentric coordinate system. This velocity data is crucial for calculating Doppler shifts due to the observatory's motion and for detailed orbital propagation models.,50,Useful for advanced users requiring detailed observatory motion for Doppler shift or orbital analyses.,
JWST_DY,Barycentric JWST Y velocity at MJD-AVG (km/s),Ephemeris,float,[km/s] barycentric JWST Y velocity at MJD-AVG,SCI,JWST,False,This keyword specifies the Y velocity component of the James Webb Space Telescope (JWST) within a barycentric coordinate system. This velocity data is crucial for calculating Doppler shifts due to the observatory's motion and for detailed orbital propagation models.,50,Useful for advanced users requiring detailed observatory motion for Doppler shift or orbital analyses.,
JWST_DZ,Barycentric JWST Z velocity at MJD-AVG (km/s),Ephemeris,float,[km/s] barycentric JWST Z velocity at MJD-AVG,SCI,JWST,False,This keyword specifies the Z velocity component of the James Webb Space Telescope (JWST) within a barycentric coordinate system. This velocity data is crucial for calculating Doppler shifts due to the observatory's motion and for detailed orbital propagation models.,50,Useful for advanced users requiring detailed observatory motion for Doppler shift or orbital analyses.,
OBSGEO-X,Geocentric JWST X coordinate at MJD-AVG (m),Ephemeris,float,[m] geocentric JWST X coordinate at MJD-AVG,SCI,JWST,False,"This keyword indicates the X coordinate of the James Webb Space Telescope (JWST) in a geocentric coordinate system, which places its position relative to the Earth's center. This information is relevant for understanding the telescope's precise location with respect to Earth, which can be important for communication links and specific observation planning.",50,Useful for advanced users needing the observatory's precise position relative to Earth for specific analyses.,
OBSGEO-Y,Geocentric JWST Y coordinate at MJD-AVG (m),Ephemeris,float,[m] geocentric JWST Y coordinate at MJD-AVG,SCI,JWST,False,"This keyword indicates the Y coordinate of the James Webb Space Telescope (JWST) in a geocentric coordinate system, which places its position relative to the Earth's center. This information is relevant for understanding the telescope's precise location with respect to Earth, which can be important for communication links and specific observation planning.",50,Useful for advanced users needing the observatory's precise position relative to Earth for specific analyses.,
OBSGEO-Z,Geocentric JWST Z coordinate at MJD-AVG (m),Ephemeris,float,[m] geocentric JWST Z coordinate at MJD-AVG,SCI,JWST,False,"This keyword indicates the Z coordinate of the James Webb Space Telescope (JWST) in a geocentric coordinate system, which places its position relative to the Earth's center. This information is relevant for understanding the telescope's precise location with respect to Earth, which can be important for communication links and specific observation planning.",50,Useful for advanced users needing the observatory's precise position relative to Earth for specific analyses.,
TDB-BEG,TDB time of exposure start in MJD,Time,float,[d] TDB time of exposure start in MJD,SCI,JWST,False,"This keyword specifies the precise start time of the astronomical observation, measured in MJD (Modified Julian Date) using the Barycentric Dynamical Time (TDB) standard. TDB accounts for relativistic effects and the motion of the Earth around the Sun, making it crucial for high-precision timing applications and comparisons across different observatories.",95,"This keyword provides essential timing information, indicating precisely when the observation began, which is fundamental for any astronomical analysis.",
